Month,RegionName,lower,upper,predicted
2018-04-01,10514,861464.7698086937,868717.9592321856,865091.3645204396
2018-04-01,10589,434426.5138902193,437929.931771123,436178.2228306712
2018-04-01,10709,689989.735221905,695115.2556779819,692552.4954499435
2018-04-01,10536,638605.5979988709,644507.4904249277,641556.5442118993
2018-04-01,10604,639419.306994608,644033.6797334856,641726.4933640468
2018-04-01,10510,722816.1399918037,728748.7762724602,725782.458132132
2018-04-01,10553,326147.2423142035,332541.85955183033,329344.55093301693
2018-04-01,10706,749329.6910117478,755797.5049032194,752563.5979574836
2018-04-01,10523,408701.8336089813,413737.49043851794,411219.6620237496
2018-04-01,10533,908020.5475178714,916001.5054155424,912011.0264667069
2018-04-01,10504,920507.2272725644,933351.8582889911,926929.5427807778
2018-04-01,10547,360320.93884484604,363279.4490723436,361800.1939585948
2018-04-01,10590,501970.4819627983,514209.14122252597,508089.8115926621
2018-04-01,10607,497485.0971178437,502739.47216065857,500112.2846392511
2018-04-01,10595,570429.2581683708,574185.2524127177,572307.2552905442
2018-04-01,10506,846899.2842259328,857863.2772437325,852381.2807348326
2018-04-01,10507,531731.2438570714,539134.0585253824,535432.6511912269
2018-04-01,10502,671293.9597476459,676658.9436835019,673976.4517155739
2018-04-01,10576,800837.8592278649,810769.6233433107,805803.7412855878
2018-04-01,10532,513311.6038232333,519688.3191048866,516499.96146405995
2018-04-01,10560,506657.9236899421,513482.7264983285,510070.3250941353
2018-04-01,10594,613374.5711915446,618307.817054742,615841.1941231433
2018-04-01,10588,393400.80288197467,397981.27614684956,395691.0395144121
2018-04-01,10537,234997.97778707248,238397.84141112823,236697.90959910036
2018-04-01,10577,1042330.9846798398,1066090.6924655612,1054210.8385727005
2018-04-01,10526,444401.01015724055,456720.0786673239,450560.54441228224
2018-04-01,10546,586723.3057790229,594173.4630685775,590448.3844238002
2018-04-01,10518,549344.280950906,563784.4008066971,556564.3408788015
2018-04-01,10501,590832.2872929327,597413.1001356557,594122.6937142942
2018-05-01,10701,456087.6027466038,465483.97669454024,460785.789720572
2018-05-01,10583,1052970.5547928046,1073573.3748292192,1063271.964811012
2018-05-01,10801,521789.86116857664,532169.4559634749,526979.6585660258
2018-05-01,10705,474574.89526441455,487161.3570055685,480868.12613499153
